customer_id,signup_date,age,city,country,email,total_orders,lifetime_value,churn_risk
C00048,2024-06-17,27,East Jamesport,India,christophercrawford@example.com,14,3676.41,medium
C00049,2023-06-13,40,Wilsonland,US,etanner@example.net,47,3069.42,medium
C00050,2024-02-06,38,Paulborough,India,davidtaylor@example.org,33,5146.27,medium
C00051,2023-12-26,24,Port Ronald,India,jbarrett@example.com,29,3142.36,medium
C00052,2024-12-15,28,Reevesfort,India,andrew66@example.org,40,11284.52,high
C00053,2025-10-03,28,Daviston,US,emiller@example.org,21,6277.15,medium
C00054,2024-01-31,49,New Angel,India,ncoleman@example.org,32,1738.02,medium
C00055,2026-04-01,33,Jamesberg,India,thomassamuel@example.org,33,6187.6,low
C00056,2024-08-24,56,East John,UAE,hunter62@example.com,4,846.32,medium
C00057,2026-02-17,,Jimmyberg,India,wardjames@example.com,35,5122.27,medium
C00058,2024-04-20,43,Cynthiahaven,India,obrady@example.net,47,1984.13,low
C00059,2023-11-01,41,West Gloria,UK,adavenport@example.org,37,3993.13,medium
C00060,2023-06-08,53,Batesstad,India,adam55@example.net,33,8343.52,high
C00061,2024-09-01,26,North Andrewfurt,India,annewilliamson@example.net,44,5999.58,medium
C00062,2023-11-14,66,Port Anneborough,India,oconnellcorey@example.com,36,3014.84,high
C00063,2025-10-04,20,North Jillianfort,India,brownjoseph@example.org,26,1742.0,medium
C00064,2024-07-14,27,North Annette,UK,parksamantha@example.org,31,8405.51,low
C00065,2024-07-31,38,Montgomeryton,India,kaylashaw@example.org,21,2858.05,high
C00066,2024-02-11,55,Josephton,India,michelle65@example.net,48,8014.8,high
C00067,2024-08-30,54,Delacruzside,India,douglasortega@example.org,35,5537.74,low
C00068,2026-04-06,25,West Roy,US,tjones@example.com,24,4502.39,high
C00069,2023-04-17,56,Debbieland,US,kennethnguyen@example.com,45,4576.19,high
C00070,2023-08-21,32,East Robin,UAE,raymondbrandt@example.com,50,2193.29,medium
C00071,2024-03-31,64,South Amy,UK,santanajocelyn@example.com,11,2630.58,medium
C00072,2025-04-21,33,Stevenside,India,amber55@example.org,10,1845.94,high
C00073,2023-05-13,46,Kerrshire,India,middletonzachary@example.org,8,1144.57,medium
C00074,2023-07-24,50,Dianeborough,UK,michelecurry@example.net,45,12534.33,high
C00075,2025-02-09,26,Melindabury,UK,alee@example.com,47,4041.17,medium
C00076,2024-03-30,42,Jamiechester,India,derek31@example.org,43,12397.12,medium
C00077,2024-10-17,40,New Andrewberg,UAE,gonzalezrachel@example.net,35,8345.3,high
C00078,2023-04-19,62,North Jennatown,India,daviladaniel@example.com,44,8567.71,low
C00079,2024-02-15,37,Lake Nathan,India,vincentsanchez@example.net,16,4547.22,medium
C00080,2025-04-09,31,Port Christopher,UAE,george95@example.net,50,11017.34,medium
C00081,2024-11-17,68,Johnberg,UAE,handerson@example.org,31,3218.84,low
C00082,2024-02-09,42,New Angelica,US,erictaylor@example.com,37,9285.59,low
C00083,2025-11-21,,Kathleenport,UAE,ofrank@example.com,19,975.42,medium
C00084,2024-05-13,48,Lake Nathaniel,India,susandelacruz@example.org,42,3551.45,high
C00085,2024-02-21,62,Taylorburgh,India,joseph59@example.net,18,1207.15,high
C00086,2023-10-09,33,Diazmouth,India,williamkeller@example.net,48,10121.05,high
C00087,2025-07-26,21,West Michelle,India,ramirezkrista@example.org,15,2123.87,high
C00088,2023-09-14,67,East Carlos,India,cynthiashea@example.org,31,973.37,high
C00089,2024-08-14,48,North Cheyenne,US,davidshelton@example.org,11,2262.1,medium
C00090,2023-08-05,21,Ewingshire,India,ramirezmichael@example.com,21,4328.53,low
C00091,2023-09-19,20,Stoutside,India,cheryl63@example.net,35,4999.01,low
C00092,2024-08-18,43,Rickyfurt,US,ctucker@example.com,3,240.91,high
C00093,2024-08-07,18,North Samanthaland,India,phillip44@example.com,19,3483.64,low
C00094,2023-04-23,59,Franklinmouth,UK,gregorychristopher@example.com,22,3774.45,low
C00095,2025-10-29,30,New Susan,India,fellis@example.com,33,3936.4,high
C00096,2023-06-19,63,Robersonland,India,lmitchell@example.org,30,1014.08,medium
C00097,2023-11-05,66,North Michael,India,emilycruz@example.net,19,1470.29,high
C00098,2025-12-01,50,Sarahfurt,India,ylindsey@example.net,26,1388.9,high
C00099,2026-01-14,26,Lake Thomasborough,US,david53@example.net,7,821.61,low
C00100,2025-06-14,33,New John,US,toconnell@example.net,1,233.51,medium
C00101,2025-07-06,54,East Deborahland,India,robinsonmaureen@example.com,20,2012.39,medium
C00102,2024-04-10,60,East Kyleberg,India,mathismichael@example.org,45,7004.55,low
C00103,2025-07-19,63,Joelstad,India,zbarnett@example.net,26,5625.84,high
C00104,2024-01-21,32,South Emilystad,India,masonbarbara@example.net,19,5481.26,medium
C00105,2025-12-03,56,Michaelborough,India,bonniemiller@example.net,10,1422.78,high
C00106,2025-05-13,69,Port Cynthiabury,UAE,danielsaunders@example.org,31,7840.3,low
C00107,2025-05-06,68,West Jack,India,pdaniels@example.net,44,7563.02,high
C00108,2023-11-04,54,Garzabury,India,nnguyen@example.net,46,2147.03,high
C00109,2024-04-09,52,Robertmouth,India,sherry69@example.com,33,2456.03,high
C00110,2026-02-23,31,Andrewsview,UAE,john32@example.org,29,5436.05,low
C00111,2023-07-22,21,North Sarahberg,US,webbjennifer@example.com,33,2165.62,medium
C00112,2024-12-27,53,Brownborough,US,thomasjessica@example.net,30,6349.42,medium
C00113,2024-06-03,,Jesusville,India,ithomas@example.org,47,11770.79,high
C00114,2025-06-20,20,North Elizabethfurt,US,gibsonsheila@example.net,14,1722.32,low
C00115,2024-07-05,22,Port Kristen,US,samanthacarroll@example.net,35,1349.89,medium
C00116,2023-10-19,67,Louisside,UAE,richard50@example.net,12,3529.8,high
C00117,2024-08-27,42,Josephberg,US,karen01@example.net,27,7149.53,medium
C00118,2023-06-09,60,Dantown,UK,caseygraham@example.com,25,1647.68,medium
C00119,2026-03-20,52,East Lauramouth,US,adamsdawn@example.net,8,1382.3,high
C00120,2025-04-28,66,Washingtonland,India,annaharrell@example.com,15,4412.89,medium
C00121,2024-05-27,45,South Kristy,UK,jamie81@example.com,44,5825.8,low
C00122,2025-06-28,27,Lake Tylermouth,India,alicia56@example.com,16,1294.24,high
C00123,2025-01-31,69,New Bryanville,UAE,smithmichael@example.org,49,7016.55,low
C00124,2024-09-04,24,Joseside,UK,morriscody@example.org,16,625.05,high
C00125,2024-01-08,21,Scottville,India,thomas36@example.com,44,10117.63,medium
C00126,2026-01-01,31,Lake Williamburgh,India,joshuamann@example.com,29,1967.26,medium
C00127,2023-10-22,64,West Brandon,UK,kathleenrivera@example.com,15,1741.56,high
C00128,2025-04-14,38,West Earl,India,vchambers@example.net,50,5573.82,low
C00129,2024-09-04,44,West Grace,India,millermonique@example.net,43,4484.54,high
C00130,2023-06-09,29,Mistyburgh,UAE,dawn64@example.org,38,8103.98,high
C00131,2024-07-17,,New Andrea,India,leonardlarson@example.net,32,9095.31,high
C00132,2023-10-16,38,Brendastad,UAE,harperjustin@example.net,25,3560.19,low
C00133,2026-03-13,66,Josephfurt,UK,jonathanwade@example.org,20,3157.0,low
C00134,2024-08-21,27,Michaelport,US,rmeza@example.com,20,5539.6,high
C00135,2023-04-23,53,Lynnbury,UK,acuevas@example.com,27,1787.54,low
C00136,2026-02-20,59,Michelleburgh,India,kparker@example.org,17,4743.02,medium
C00137,2025-01-02,30,Reginaland,India,odunn@example.org,6,614.91,high
C00138,2024-08-19,22,Berrychester,India,jerryweiss@example.net,39,9642.97,high
C00139,2024-04-12,31,West Mathewmouth,US,hernandezjustin@example.net,47,4060.8,medium
C00140,2025-04-21,18,North Aliciamouth,India,qsosa@example.org,20,5660.66,high
C00141,2025-12-28,66,Smithberg,US,ukim@example.org,8,2215.19,high
C00142,2025-11-06,43,Port Sierrachester,India,lynchmichelle@example.com,39,6983.39,medium
C00143,2024-04-26,59,New Gina,India,rodrigueztanya@example.net,25,2831.85,medium
C00144,2026-03-26,47,Nancymouth,India,tcook@example.org,33,8143.1,high
C00145,2025-04-16,38,West Kevin,India,kylie82@example.net,31,4032.8,medium
C00146,2024-03-19,32,West Ann,UAE,brownsusan@example.com,3,208.2,medium
C00147,2024-02-10,55,North Gregory,UAE,ddavis@example.net,36,5138.86,low
C00148,2024-10-13,42,New Janettown,UK,ericabrown@example.com,13,3315.1,medium
C00149,2025-12-24,61,West Angelaburgh,India,paulbilly@example.org,36,3581.22,medium
C00150,2024-03-19,49,New Tammy,US,cmorales@example.net,47,3544.88,medium
C00151,2023-06-06,52,North Pamelamouth,US,mcgeechristopher@example.org,11,876.62,high
C00152,2024-12-06,51,Andrewburgh,India,johnsoncolleen@example.com,42,10775.04,low
C00153,2023-10-29,,East Cameronside,India,courtneybrown@example.net,43,6077.87,high
C00154,2024-05-15,27,Port Kelly,India,stephanie49@example.org,15,1335.81,medium
C00155,2025-04-30,58,Port Bryan,UAE,harold05@example.org,24,6771.7,medium
C00156,2025-05-13,18,East Jeffreyview,UK,michaelmartin@example.net,43,7694.58,low
C00157,2024-07-17,35,Atkinsfurt,UK,felicia57@example.com,2,587.84,low
C00158,2024-07-10,61,Lake David,US,mark44@example.net,33,8172.95,low
C00159,2023-11-27,51,Thomasland,India,hsellers@example.com,7,665.43,high
C00160,2025-10-28,40,West Josephbury,India,xtaylor@example.com,34,8317.52,low
C00161,2023-11-29,47,Paulview,UK,jillianbrandt@example.com,24,2295.99,high
C00162,2024-02-20,70,Port Christopherchester,India,carolyn50@example.com,15,3097.63,high
C00163,2025-10-22,,North Donald,US,thomasgardner@example.com,49,6487.66,high
C00164,2024-08-19,18,West Meganbury,UAE,ryan11@example.net,31,2364.48,medium
C00165,2025-03-03,39,Jamiefurt,UK,trannicholas@example.net,28,8228.61,low
C00166,2024-08-12,32,Rickyfort,India,jonesbrittany@example.org,34,9293.69,high
C00167,2025-05-03,20,Kimberlystad,India,kimberlyduarte@example.org,37,7947.44,medium
C00168,2025-11-02,20,Johnsonton,India,karen83@example.com,35,9826.84,medium
C00169,2023-05-14,55,Wendybury,India,danielmercado@example.com,2,466.22,high
C00170,2023-11-26,37,North Paula,India,zimmermanmarisa@example.org,26,4738.99,high
C00171,2023-07-28,52,East Todd,India,teresarodriguez@example.org,25,3340.96,high
C00172,2026-04-06,62,New Traceyborough,UAE,michelle71@example.org,9,460.58,high
C00173,2024-07-09,45,Port Christopher,India,melinda96@example.com,23,5898.17,medium
C00174,2024-09-13,56,South Sarah,US,veronicamccann@example.net,39,11372.73,medium
C00175,2025-06-09,68,New Markview,US,amoore@example.org,2,324.93,medium
C00176,2024-07-12,45,East Garrett,India,qdavis@example.com,36,7686.63,high
C00177,2023-06-21,57,East Samuelside,India,justin43@example.org,25,6136.87,high
C00178,2025-10-02,27,Rogerschester,US,amandavillarreal@example.com,5,1110.76,high
C00179,2024-06-04,38,West Danielle,India,edwarddominguez@example.net,10,587.69,low
C00180,2023-10-10,66,Christinemouth,India,olivia17@example.com,20,1152.05,low
C00181,2023-12-15,53,East Denise,UK,xwilliamson@example.com,12,2020.31,low
C00182,2024-04-18,53,South Marieland,India,acostacarly@example.com,2,382.34,medium
C00183,2024-08-03,,South Alexis,US,odunn@example.com,25,3367.65,low
C00184,2024-10-07,33,Rivasshire,UK,amyrichards@example.net,47,8022.82,high
C00185,2025-11-27,35,Stephentown,India,molly17@example.net,25,2561.75,low
C00186,2024-08-11,35,Traceyborough,US,nataliezamora@example.org,5,554.67,low
C00187,2024-01-06,33,South Kevinton,UAE,kristi24@example.com,24,4770.22,high
C00188,2025-07-22,24,East Suzanne,India,ureed@example.org,40,4490.31,medium
C00189,2025-05-08,42,Lake Kellyborough,India,bennetttravis@example.com,22,3274.92,medium
C00190,2023-10-20,26,New Samantha,India,elliottmatthew@example.org,42,4896.34,high
C00191,2023-08-06,29,North Melissa,US,krausekyle@example.net,13,3790.23,medium
C00192,2023-10-08,49,Wiseberg,UK,vmcconnell@example.org,48,11574.39,medium
C00193,2023-09-08,68,South Jasmine,US,lawrencefreeman@example.org,25,3213.85,high
C00194,2025-03-16,52,East Kimberly,India,michellehunt@example.org,13,2782.81,high
C00195,2026-03-21,47,East Annhaven,UAE,dustin77@example.com,2,173.21,medium
C00196,2023-06-27,68,Rubiofort,US,jamiebeasley@example.net,45,9526.68,low
C00197,2025-02-24,34,Ginashire,UAE,gmartinez@example.org,41,2936.37,medium
C00198,2026-04-03,56,Port Robertborough,US,colleen75@example.com,25,4680.15,high
C00199,2025-02-03,62,Debbiemouth,US,karen41@example.org,33,5833.88,medium
C00200,2025-05-10,52,New Shelley,UK,smithchad@example.net,45,9103.89,low
C00201,2025-01-15,60,West Elizabeth,UAE,archeranthony@example.org,7,880.97,high
C00202,2024-12-17,,Rileyberg,UAE,williamsjennifer@example.com,40,8516.7,medium
C00203,2025-02-17,68,Lake Andreabury,US,rbeck@example.net,49,2871.65,low
C00204,2024-04-13,65,Cynthiafurt,UK,rhernandez@example.net,17,3071.19,high
C00205,2025-10-04,41,South Robert,US,linda14@example.com,37,5736.0,high
C00206,2023-07-17,27,North Scottmouth,India,waltersalexander@example.net,38,11376.43,medium
C00207,2023-11-12,23,West Gregory,India,alexandria85@example.org,7,1781.19,high
C00208,2023-08-11,39,Lambertburgh,US,wtucker@example.org,10,2417.53,high
C00209,2025-02-04,24,Maldonadohaven,US,omarsh@example.com,31,6973.09,medium
C00210,2024-01-07,20,East Michellechester,UAE,pmartin@example.net,21,1282.53,medium
C00211,2026-03-31,69,East Megan,India,samuel07@example.net,42,11805.32,high
C00212,2023-07-19,53,South Matthewstad,India,mmoore@example.org,16,1909.88,medium
C00213,2026-03-27,43,Angelaborough,UAE,fbrown@example.org,30,2394.06,high
C00214,2024-09-26,19,West Robertview,UAE,uhill@example.org,43,8419.78,low
C00215,2023-11-01,42,Harrisstad,India,ymontgomery@example.org,29,6388.08,low
C00216,2024-05-03,69,South Jessicafort,India,houstonthomas@example.net,18,3345.91,high
C00217,2024-03-23,30,Port Emily,US,lynnaustin@example.com,12,729.21,high
C00218,2024-07-09,58,Mariaville,India,josephjohnson@example.net,32,6117.83,high
C00219,2023-05-30,40,New Angela,India,lecolleen@example.org,26,6715.53,high
C00220,2025-03-23,63,Justinborough,India,fgilbert@example.net,12,3336.53,high
C00221,2024-07-27,38,New Kenneth,India,crystal31@example.org,6,566.49,low
C00222,2025-06-17,27,Carolynborough,UK,deniseferguson@example.org,12,1618.62,high
C00223,2024-03-13,45,Corystad,India,connerbrooke@example.net,9,1452.61,high
C00224,2023-10-08,29,South Robertshire,UK,sheila82@example.org,45,3377.42,medium
C00225,2023-09-21,46,Bullockmouth,UK,jessica23@example.com,9,400.28,medium
C00226,2026-02-09,30,Schaeferland,US,pstevens@example.net,1,290.23,high
C00227,2024-10-20,61,Port Jeffery,US,kelly86@example.net,42,5973.25,medium
C00228,2024-05-19,54,Ericfort,India,cooperjacob@example.org,32,7836.41,low
C00229,2026-04-08,,West Linda,India,michellegreen@example.com,19,3327.93,low
C00230,2024-06-28,65,North Dannyfurt,US,joe29@example.net,50,8921.3,low
C00231,2024-09-10,67,Port Nicholasmouth,UK,sanderstina@example.net,37,9334.6,medium
C00232,2024-09-11,20,West Karenhaven,UAE,michaelmcmillan@example.net,35,5220.91,low
C00233,2025-05-28,59,West Jonathan,India,tammycrane@example.com,28,3090.68,low
C00234,2024-04-05,70,Arnoldstad,India,barrettaimee@example.org,29,4307.92,low
C00235,2024-07-01,31,Evanmouth,UAE,howejohn@example.net,50,9436.97,medium
C00236,2023-04-19,45,Johnfurt,India,dakotaburton@example.net,46,9032.6,low
C00237,2026-02-07,54,Webbberg,India,gabriel72@example.net,14,2432.02,high
C00238,2025-07-23,63,Sullivanside,India,mendozawilliam@example.com,35,3784.2,medium
C00239,2025-07-06,61,West Patrick,India,guerrerojane@example.com,33,2198.1,medium
C00240,2026-04-10,59,East Annette,India,uritter@example.net,4,877.54,low
C00241,2025-10-30,38,Ninaberg,India,bhenderson@example.org,16,3769.57,high
C00242,2023-04-28,54,Galvanmouth,UAE,alewis@example.com,26,2666.39,medium
C00243,2025-05-28,58,Gibsonstad,India,wilsonkelly@example.com,25,3469.24,high
C00244,2024-04-09,41,Lake Kevin,US,uramirez@example.net,18,5158.23,medium
C00245,2025-12-23,,Roberttown,UAE,canderson@example.org,38,2095.63,medium
C00246,2026-03-10,40,North Nicholas,India,browntyler@example.org,41,10038.15,medium
C00247,2025-05-01,70,Smithborough,India,autumnlarson@example.com,14,2290.02,medium
C00248,2025-01-10,54,North Thomas,India,rodriguezjason@example.org,19,3474.31,medium
C00249,2026-02-10,66,Kevinmouth,India,hoodjohn@example.org,22,932.9,high
C00250,2024-09-11,,West Jenniferfurt,India,ygarrett@example.com,30,4474.42,low
C00251,2025-12-13,62,Mcclainmouth,India,hannahmorales@example.net,28,7509.04,medium
C00252,2023-05-19,35,Wilsonmouth,India,kimberly35@example.com,11,2274.13,medium
C00253,2025-07-20,59,Wilsonberg,India,dennis80@example.net,6,263.9,high
C00254,2025-05-26,66,North John,India,beverett@example.org,20,2917.85,low
C00255,2026-03-31,31,Gonzalezbury,US,xhernandez@example.org,46,2348.0,high
C00256,2025-06-26,46,Jonesberg,India,michaelcochran@example.com,15,482.65,medium
C00257,2023-11-24,45,East Dianaland,UAE,palmertrevor@example.com,8,525.5,low
C00258,2026-01-11,64,North Bryan,India,hurleyrhonda@example.org,15,867.97,medium
C00259,2024-09-08,67,Priceland,India,aprillewis@example.com,20,4064.51,high
C00260,2023-06-15,54,Lake Kaitlin,India,kharris@example.org,10,1947.86,low
C00261,2024-03-05,31,Port Dennis,UAE,seth37@example.org,29,6728.94,medium
C00262,2026-02-08,31,North Sharonbury,India,bthompson@example.org,40,10883.2,low
C00263,2025-08-28,64,Johnsontown,US,chart@example.net,49,6120.82,medium
C00264,2023-10-20,33,Phillipshire,India,adrianmcdaniel@example.org,21,4285.0,low
C00265,2023-08-07,64,Victoriaview,UK,peter97@example.org,36,3849.43,high
C00266,2025-07-27,60,East Sabrinaborough,India,ujacobs@example.net,2,170.94,high
C00267,2025-08-23,43,Alvareztown,India,rrussell@example.net,33,6747.37,low
C00268,2025-10-02,33,Ashleybury,US,matthew42@example.com,32,6473.03,low
C00269,2025-02-05,18,New Jasonbury,India,villegasmartin@example.org,34,9593.43,low
C00270,2023-05-18,54,North Kevinborough,US,cathygreen@example.org,25,3216.53,high
C00271,2026-01-10,67,Baldwinside,India,johnsonthomas@example.com,12,414.07,low
C00272,2026-01-23,20,Ginaport,India,danielcruz@example.org,1,286.14,medium
C00273,2024-09-03,63,East Michelleberg,UK,jennifermaynard@example.com,33,7824.95,medium
C00274,2025-01-30,58,Lopezburgh,UK,harperjacob@example.org,45,7882.51,low
C00275,2025-10-14,23,Alexandraville,UK,youngheather@example.com,18,5015.69,low
C00276,2025-10-18,55,Lake Madisontown,UAE,nicolechambers@example.net,35,8262.47,high
C00277,2024-10-19,37,Dianabury,UAE,robin26@example.com,44,6517.33,low
C00278,2024-09-13,45,North Chadmouth,India,nyang@example.com,4,609.64,high
C00279,2024-08-10,65,Sydneyport,UAE,tiffanysantana@example.net,4,919.91,low
C00280,2023-06-08,62,South Mark,India,ddean@example.com,1,74.23,medium
C00281,2023-10-28,70,Mcintoshshire,UAE,stephaniesanchez@example.com,34,3399.89,medium
C00282,2024-08-09,35,Josephchester,UAE,jesusbrooks@example.org,9,2423.99,low
C00283,2024-04-15,35,Brennanport,UK,hpayne@example.org,22,1039.4,high
C00284,2024-05-10,49,Rossborough,US,hsmith@example.net,37,6212.71,low
C00285,2023-08-15,28,Stephenchester,India,ekelley@example.net,32,2319.16,low
C00286,2023-10-21,25,Sarafort,India,sbrown@example.com,37,8510.39,low
C00287,2024-07-17,18,North Courtney,India,cruzsteven@example.com,3,127.25,medium
C00288,2023-10-26,29,New Lindaview,India,alexandersaunders@example.org,25,4481.84,high
C00289,2025-05-05,32,Saundersland,India,mbrown@example.org,48,4657.49,high
C00290,2023-09-03,22,Port Jesse,UK,jamie38@example.com,21,2743.82,high
C00291,2025-09-03,29,Jeremyville,India,luisboyd@example.com,44,10875.54,low
C00292,2024-08-28,47,West Michael,India,tammyhodges@example.org,26,6210.16,medium
C00293,2024-10-31,47,Newmanville,India,burnschristy@example.com,21,2721.77,medium
C00294,2023-11-17,65,Port Melissamouth,UK,kristenrobinson@example.org,37,3533.41,medium
C00295,2024-08-04,67,Lake Jeffrey,India,fosterashley@example.com,38,8655.07,high
C00296,2023-07-14,27,Stevenview,India,hcurtis@example.net,49,13805.62,low
C00297,2026-04-14,58,Port Wanda,UAE,vhutchinson@example.org,15,4002.65,medium
C00298,2025-07-13,42,Lake Rebekah,UAE,zhiggins@example.org,1,226.35,low
C00299,2025-03-12,33,Pedrostad,US,calvin86@example.org,14,2279.87,low
C00300,2025-02-09,23,Port Juliamouth,India,lewistiffany@example.net,10,2787.44,high
C00301,2023-10-19,41,East Kristinaland,US,williamscaroline@example.com,27,7914.5,low
C00302,2025-09-23,26,West Ethanchester,UAE,ericlang@example.net,38,9552.82,low
C00303,2024-06-30,45,Beckview,UAE,shanepatterson@example.org,38,11032.88,low
C00304,2025-06-08,38,Keyville,US,bryan31@example.com,19,4164.72,high
C00305,2025-05-22,35,Garrettview,India,tuckerbrittany@example.com,21,1053.48,low
C00306,2025-07-01,55,North Sandraborough,India,uthomas@example.org,9,647.65,low
C00307,2023-10-09,44,Lindafort,India,michelle95@example.com,29,5066.29,low
C00308,2024-04-06,34,Kingfort,India,david94@example.org,29,1578.0,high
C00309,2024-02-20,62,West Zachary,UK,james91@example.com,20,817.78,medium
C00310,2024-04-14,33,Williamborough,India,horneeric@example.org,10,1369.86,low
C00311,2024-02-01,70,Jimenezbury,India,courtneygalvan@example.org,44,1689.26,medium
C00312,2025-01-30,53,East Oscarberg,India,sgreene@example.org,29,1611.7,low
C00313,2024-03-07,21,New Davidchester,India,fischerrobert@example.com,9,587.64,medium
C00314,2023-12-10,59,Wrightton,India,jeffery09@example.org,24,4493.46,medium
C00315,2025-06-23,,New Jillstad,India,sparkswhitney@example.com,5,416.96,high
C00316,2025-06-08,23,Lake Roberttown,India,harriscraig@example.com,29,1829.39,medium
C00317,2024-02-03,54,Thomaston,US,mortiz@example.com,4,1007.42,medium
C00318,2024-04-28,,New Stephanieton,UAE,pcastillo@example.com,32,4646.38,medium
C00319,2025-04-18,35,North Katieland,India,sbishop@example.net,14,2105.92,low
C00320,2025-09-21,57,East Brenda,India,angelacarrillo@example.com,3,614.3,medium
C00321,2024-02-28,48,South Bryan,India,david99@example.com,27,1449.49,medium
C00322,2023-11-23,59,Josechester,UK,burtonjennifer@example.net,9,875.43,high
C00323,2025-12-06,68,West Stephanieton,UAE,ataylor@example.org,2,253.92,high
C00324,2024-12-01,54,Coltonburgh,UK,jacob81@example.org,32,3738.66,medium
C00325,2025-05-15,,Jasonchester,UK,owensmiranda@example.org,12,1069.63,medium
C00326,2024-04-18,48,Taylormouth,UK,johnsonjames@example.net,4,506.03,high
C00327,2024-04-22,24,Davidfort,India,susan82@example.org,15,3110.3,medium
C00328,2026-01-09,65,Reyesstad,India,rasmussenlisa@example.net,35,8270.27,low
C00329,2024-06-30,69,Georgefurt,US,klinekatelyn@example.net,37,4654.5,low
C00330,2025-07-25,38,Port Bobberg,UAE,susanrodriguez@example.net,12,2620.31,high
C00331,2025-01-03,40,Ashleyfurt,UK,april68@example.org,2,364.35,high
C00332,2024-07-14,69,Lake Leonard,US,phamjaime@example.com,13,2292.86,low
C00333,2024-10-07,,North Todd,India,kathryn54@example.net,32,2969.87,low
C00334,2025-03-13,18,Port Wendy,India,mooretanya@example.net,2,555.66,low
C00335,2023-06-13,29,Samanthabury,India,oharrison@example.com,9,414.72,low
